"REGION"	"COUNTRY"	"MARKET_TYPE"	"PROJECT_SCOPE"	"PROJECT_TYPE"	"PROJECT_COUNT"
"Central Asia"	"Kazakhstan"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Central Asia"	"Tajikistan"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Central Asia"	"Turkmenistan"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Central Asia"	"Uzbekistan"	"VCS"	"Industrial & Commercial"	"Leak Detection & Repair in Gas Systems"	"1"
"Eastern Asia"	"China"	"GS"	"Household & Community"	"Biodigesters"	"98"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Wind"	"26"
"Eastern Asia"	"China"	"GS"	"Household & Community"	"Cookstoves"	"21"
"Eastern Asia"	"China"	"GS"	"Agriculture"	"Manure Methane Digester"	"14"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Solar - Centralized"	"13"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Hydropower"	"11"
"Eastern Asia"	"China"	"GS"	"Industrial & Commercial"	"Waste Heat Recovery"	"5"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Biomass"	"4"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Geothermal"	"4"
"Eastern Asia"	"China"	"GS"	"Waste Management"	"Landfill Methane"	"4"
"Eastern Asia"	"China"	"GS"	"Renewable Energy"	"Solar - centralized"	"3"
"Eastern Asia"	"China"	"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"3"
"Eastern Asia"	"China"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Eastern Asia"	"China"	"GS"	"Industrial & Commercial"	"Waste Gas Recovery"	"1"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Wind"	"125"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Hydropower"	"70"
"Eastern Asia"	"China"	"VCS"	"Agriculture"	"Manure Methane Digester"	"58"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Landfill Methane"	"52"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"19"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"18"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Composting"	"16"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Biomass"	"12"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Waste Recycling"	"11"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"10"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"8"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Natural Gas Electricity Generation"	"8"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"7"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"6"
"Eastern Asia"	"China"	"VCS"	"Renewable Energy"	"Geothermal"	"6"
"Eastern Asia"	"China"	"VCS"	"Waste Management"	"Waste Incineration"	"6"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Sustainable Grassland Management"	"5"
"Eastern Asia"	"China"	"VCS"	"Household & Community"	"Biodigesters"	"2"
"Eastern Asia"	"China"	"VCS"	"Household & Community"	"Cookstoves"	"2"
"Eastern Asia"	"China"	"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"2"
"Eastern Asia"	"China"	"VCS"	"Transportation"	"Electric Vehicles & Charging"	"2"
"Eastern Asia"	"China"	"VCS"	"Chemical Processes"	"HFC23 Destruction"	"1"
"Eastern Asia"	"China"	"VCS"	"Forestry & Land Use"	"Wetland Restoration"	"1"
"Eastern Asia"	"China"	"VCS"	"Household & Community"	"Bundled Energy Efficiency"	"1"
"Eastern Asia"	"Mongolia"	"GS"	"Household & Community"	"Bundled Energy Efficiency"	"9"
"Eastern Asia"	"Mongolia"	"GS"	"Household & Community"	"Weatherization"	"1"
"Eastern Asia"	"Mongolia"	"GS"	"Renewable Energy"	"Wind"	"1"
"Eastern Asia"	"Mongolia"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Waste Management"	"Landfill Methane"	"2"
"Eastern Asia"	"South Korea"	"VCS"	"Household & Community"	"Bundled Energy Efficiency"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"1"
"Eastern Asia"	"South Korea"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Eastern Asia"	"Taiwan"	"GS"	"Renewable Energy"	"Wind"	"5"
"Eastern Asia"	"Taiwan"	"GS"	"Renewable Energy"	"Biomass"	"1"
"Eastern Asia"	"Taiwan"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Eastern Asia"	"Taiwan"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"Eastern Europe"	"Bulgaria"	"GS"	"Renewable Energy"	"Biomass"	"1"
"Eastern Europe"	"Bulgaria"	"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"1"
"Eastern Europe"	"Bulgaria"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Eastern Europe"	"Romania"	"GS"	"Waste Management"	"Waste Recycling"	"1"
"Eastern Europe"	"Romania"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"1"
"Eastern Europe"	"Russia"	"GS"	"Renewable Energy"	"Biomass"	"1"
"Eastern Europe"	"Russia"	"VCS"	"Renewable Energy"	"Biomass"	"1"
"Europe"	"Albania"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Europe"	"Estonia"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Europe"	"Germany"	"GS"	"Waste Management"	"Waste Recycling"	"1"
"Europe"	"Germany"	"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"39"
"Europe"	"Germany"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"1"
"Europe"	"Iceland"	"VCS"	"Transportation"	"Electric Vehicles & Charging"	"1"
"Europe"	"Netherlands"	"VCS"	"Agriculture"	"Manure Methane Digester"	"2"
"Europe"	"Switzerland"	"GS"	"Household & Community"	"Biodigesters"	"1"
"Europe"	"Switzerland"	"GS"	"Industrial & Commercial"	"Carbon-Absorbing Concrete"	"1"
"Europe"	"United Kingdom"	"VCS"	"Agriculture"	"Feed Additives"	"1"
"Europe"	"United Kingdom"	"VCS"	"Household & Community"	"Weatherization"	"1"
"Europe"	"United Kingdom"	"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"1"
"International"	"International"	"GS"	"Transportation"	"Shipping"	"2"
"International"	"International"	"GS"	"Agriculture"	"Feed Additives"	"1"
"International"	"International"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Argentina"	"GS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Renewable Energy"	"Wind"	"4"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Renewable Energy"	"Biomass"	"1"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"Latin America and the Caribbean"	"Argentina"	"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"1"
"Latin America and the Caribbean"	"Aruba"	"GS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Belize"	"VCS"	"Forestry & Land Use"	"REDD+"	"4"
"Latin America and the Caribbean"	"Bolivia"	"GS"	"Household & Community"	"Cookstoves"	"3"
"Latin America and the Caribbean"	"Bolivia"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Bolivia"	"VCS"	"Forestry & Land Use"	"REDD+"	"1"
"Latin America and the Caribbean"	"Brazil"	"GS"	"Waste Management"	"Landfill Methane"	"6"
"Latin America and the Caribbean"	"Brazil"	"GS"	"Household & Community"	"Cookstoves"	"4"
"Latin America and the Caribbean"	"Brazil"	"GS"	"Renewable Energy"	"Biomass"	"4"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Renewable Energy"	"Biomass"	"41"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Forestry & Land Use"	"REDD+"	"18"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Renewable Energy"	"Hydropower"	"11"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"8"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Waste Management"	"Landfill Methane"	"7"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Renewable Energy"	"RE Bundled"	"3"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Renewable Energy"	"Wind"	"2"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Agriculture"	"Manure Methane Digester"	"1"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Transportation"	"Bicycles"	"1"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Transportation"	"Fleet Efficiency"	"1"
"Latin America and the Caribbean"	"Brazil"	"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"1"
"Latin America and the Caribbean"	"Chile"	"GS"	"Renewable Energy"	"Wind"	"2"
"Latin America and the Caribbean"	"Chile"	"GS"	"Waste Management"	"Landfill Methane"	"1"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Renewable Energy"	"Hydropower"	"10"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"2"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Renewable Energy"	"Wind"	"2"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Forestry & Land Use"	"REDD+"	"1"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Industrial & Commercial"	"Waste Gas Recovery"	"1"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Renewable Energy"	"Biomass"	"1"
"Latin America and the Caribbean"	"Chile"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"Latin America and the Caribbean"	"Colombia"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Latin America and the Caribbean"	"Colombia"	"GS"	"Renewable Energy"	"Biomass"	"1"
"Latin America and the Caribbean"	"Colombia"	"GS"	"Renewable Energy"	"Hydropower"	"1"
"Latin America and the Caribbean"	"Colombia"	"VCS"	"Forestry & Land Use"	"REDD+"	"13"
"Latin America and the Caribbean"	"Colombia"	"VCS"	"Renewable Energy"	"Hydropower"	"11"
"Latin America and the Caribbean"	"Colombia"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"9"
"Latin America and the Caribbean"	"Colombia"	"VCS"	"Waste Management"	"Landfill Methane"	"2"
"Latin America and the Caribbean"	"Colombia"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Latin America and the Caribbean"	"Colombia"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Costa Rica"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Costa Rica"	"GS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Costa Rica"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Dominican Republic"	"GS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Latin America and the Caribbean"	"Dominican Republic"	"VCS"	"Chemical Processes"	"Ozone Depleting Substances Recovery & Destruction"	"1"
"Latin America and the Caribbean"	"Dominican Republic"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"1"
"Latin America and the Caribbean"	"Dominican Republic"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Ecuador"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Ecuador"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"Latin America and the Caribbean"	"El Salvador"	"VCS"	"Household & Community"	"Lighting"	"1"
"Latin America and the Caribbean"	"El Salvador"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"El Salvador"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"Latin America and the Caribbean"	"Guatemala"	"GS"	"Household & Community"	"Cookstoves"	"4"
"Latin America and the Caribbean"	"Guatemala"	"GS"	"Household & Community"	"Bundled Energy Efficiency"	"1"
"Latin America and the Caribbean"	"Guatemala"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Latin America and the Caribbean"	"Guatemala"	"VCS"	"Forestry & Land Use"	"REDD+"	"2"
"Latin America and the Caribbean"	"Guatemala"	"VCS"	"Household & Community"	"Cookstoves"	"1"
"Latin America and the Caribbean"	"Guatemala"	"VCS"	"Renewable Energy"	"Geothermal"	"1"
"Latin America and the Caribbean"	"Haiti"	"GS"	"Household & Community"	"Clean Water"	"1"
"Latin America and the Caribbean"	"Haiti"	"GS"	"Household & Community"	"Cookstoves"	"1"
"Latin America and the Caribbean"	"Honduras"	"GS"	"Household & Community"	"Cookstoves"	"14"
"Latin America and the Caribbean"	"Honduras"	"GS"	"Renewable Energy"	"Hydropower"	"4"
"Latin America and the Caribbean"	"Honduras"	"GS"	"Household & Community"	"Clean Water"	"3"
"Latin America and the Caribbean"	"Honduras"	"GS"	"Agriculture"	"Manure Methane Digester"	"1"
"Latin America and the Caribbean"	"Honduras"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Honduras"	"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"1"
"Latin America and the Caribbean"	"Honduras"	"VCS"	"Renewable Energy"	"Hydropower"	"2"
"Latin America and the Caribbean"	"Honduras"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Latin America and the Caribbean"	"Mexico"	"ACR"	"Chemical Processes"	"HFC Replacement in Foam Production"	"2"
"Latin America and the Caribbean"	"Mexico"	"CAR"	"Forestry & Land Use"	"Improved Forest Management"	"175"
"Latin America and the Caribbean"	"Mexico"	"CAR"	"Waste Management"	"Landfill Methane"	"2"
"Latin America and the Caribbean"	"Mexico"	"GS"	"Household & Community"	"Cookstoves"	"2"
"Latin America and the Caribbean"	"Mexico"	"VCS"	"Renewable Energy"	"Wind"	"3"
"Latin America and the Caribbean"	"Mexico"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Nicaragua"	"GS"	"Renewable Energy"	"Wind"	"3"
"Latin America and the Caribbean"	"Nicaragua"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Latin America and the Caribbean"	"Nicaragua"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Latin America and the Caribbean"	"Nicaragua"	"VCS"	"Renewable Energy"	"Wind"	"2"
"Latin America and the Caribbean"	"Panama"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"2"
"Latin America and the Caribbean"	"Panama"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Panama"	"VCS"	"Forestry & Land Use"	"REDD+"	"1"
"Latin America and the Caribbean"	"Paraguay"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"5"
"Latin America and the Caribbean"	"Paraguay"	"VCS"	"Forestry & Land Use"	"REDD+"	"3"
"Latin America and the Caribbean"	"Peru"	"GS"	"Household & Community"	"Cookstoves"	"6"
"Latin America and the Caribbean"	"Peru"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Forestry & Land Use"	"REDD+"	"9"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"4"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"1"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Industrial & Commercial"	"Fuel Switching"	"1"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Industrial & Commercial"	"Grid Expansion & Mini-Grids"	"1"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Renewable Energy"	"Hydropower"	"1"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Renewable Energy"	"RE Bundled"	"1"
"Latin America and the Caribbean"	"Peru"	"VCS"	"Transportation"	"Mass Transit"	"1"
"Latin America and the Caribbean"	"Uruguay"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"8"
"Latin America and the Caribbean"	"Uruguay"	"VCS"	"Renewable Energy"	"Wind"	"2"
"Latin America and the Caribbean"	"Uruguay"	"VCS"	"Renewable Energy"	"Biomass"	"1"
"Latin America and the Caribbean"	"Uruguay"	"VCS"	"Renewable Energy"	"RE Bundled"	"1"
"North America"	"Canada"	"ACR"	"Chemical Processes"	"HFC Refrigerant Reclamation"	"1"
"North America"	"Canada"	"ACR"	"Forestry & Land Use"	"Improved Forest Management"	"1"
"North America"	"Canada"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"3"
"North America"	"Canada"	"VCS"	"Industrial & Commercial"	"Energy Efficiency"	"1"
"North America"	"Canada"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"North America"	"United States"	"ACR"	"Forestry & Land Use"	"Improved Forest Management"	"84"
"North America"	"United States"	"ACR"	"Waste Management"	"Landfill Methane"	"5"
"North America"	"United States"	"ACR"	"Chemical Processes"	"Advanced Refrigerants"	"2"
"North America"	"United States"	"ACR"	"Chemical Processes"	"HFC Replacement in Foam Production"	"1"
"North America"	"United States"	"ACR"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"North America"	"United States"	"ACR"	"Forestry & Land Use"	"Avoided Grassland Conversion"	"1"
"North America"	"United States"	"ACR"	"Forestry & Land Use"	"Wetland Restoration"	"1"
"North America"	"United States"	"ACR"	"Industrial & Commercial"	"Mine Methane Capture"	"1"
"North America"	"United States"	"ACR"	"Industrial & Commercial"	"Oil Recycling"	"1"
"North America"	"United States"	"CAR"	"Forestry & Land Use"	"Improved Forest Management"	"81"
"North America"	"United States"	"CAR"	"Waste Management"	"Landfill Methane"	"46"
"North America"	"United States"	"CAR"	"Agriculture"	"Manure Methane Digester"	"33"
"North America"	"United States"	"CAR"	"Forestry & Land Use"	"Avoided Grassland Conversion"	"16"
"North America"	"United States"	"CAR"	"Chemical Processes"	"Ozone Depleting Substances Recovery & Destruction"	"10"
"North America"	"United States"	"CAR"	"Chemical Processes"	"N2O Destruction in Nitric Acid Production"	"7"
"North America"	"United States"	"CAR"	"Forestry & Land Use"	"Avoided Forest Conversion"	"6"
"North America"	"United States"	"CAR"	"Forestry & Land Use"	"Afforestation/Reforestation"	"5"
"North America"	"United States"	"CAR"	"Waste Management"	"Composting"	"3"
"North America"	"United States"	"CAR"	"Agriculture"	"Sustainable Agriculture"	"2"
"North America"	"United States"	"CAR"	"Agriculture"	"Nitrogen Management"	"1"
"North America"	"United States"	"CAR"	"Chemical Processes"	"N2O Destruction in Adipic Acid Production"	"1"
"North America"	"United States"	"CAR"	"Industrial & Commercial"	"Mine Methane Capture"	"1"
"North America"	"United States"	"CAR"	"Waste Management"	"Methane Recovery in Wastewater"	"1"
"North America"	"United States"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"North America"	"United States"	"GS"	"Waste Management"	"Composting"	"1"
"North America"	"United States"	"VCS"	"Waste Management"	"Landfill Methane"	"13"
"North America"	"United States"	"VCS"	"Renewable Energy"	"Wind"	"10"
"North America"	"United States"	"VCS"	"Agriculture"	"Solid Waste Separation"	"7"
"North America"	"United States"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"6"
"North America"	"United States"	"VCS"	"Renewable Energy"	"Biomass"	"5"
"North America"	"United States"	"VCS"	"Waste Management"	"Methane Recovery in Wastewater"	"5"
"North America"	"United States"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"4"
"North America"	"United States"	"VCS"	"Industrial & Commercial"	"University Campus Emission Reductions"	"4"
"North America"	"United States"	"VCS"	"Industrial & Commercial"	"Road Construction Emission Reductions"	"3"
"North America"	"United States"	"VCS"	"Carbon Capture & Storage"	"Carbon Capture in Concrete"	"2"
"North America"	"United States"	"VCS"	"Industrial & Commercial"	"Mine Methane Capture"	"2"
"North America"	"United States"	"VCS"	"Industrial & Commercial"	"Waste Heat Recovery"	"2"
"North America"	"United States"	"VCS"	"Transportation"	"Electric Vehicles & Charging"	"2"
"North America"	"United States"	"VCS"	"Waste Management"	"Waste Incineration"	"2"
"North America"	"United States"	"VCS"	"Chemical Processes"	"HFC23 Destruction"	"1"
"North America"	"United States"	"VCS"	"Chemical Processes"	"SF6 Replacement"	"1"
"North America"	"United States"	"VCS"	"Forestry & Land Use"	"Sustainable Grassland Management"	"1"
"North America"	"United States"	"VCS"	"Household & Community"	"Biodigesters"	"1"
"North America"	"United States"	"VCS"	"Household & Community"	"Weatherization"	"1"
"Northern Africa"	"Egypt"	"GS"	"Renewable Energy"	"Wind"	"2"
"Northern Africa"	"Egypt"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"4"
"Northern Africa"	"Morocco"	"GS"	"Renewable Energy"	"Wind"	"2"
"Northern Africa"	"Morocco"	"GS"	"Renewable Energy"	"Solar - Distributed"	"1"
"Northern Africa"	"Morocco"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"3"
"Northern Africa"	"Morocco"	"VCS"	"Renewable Energy"	"Wind"	"1"
"Northern Africa"	"Sudan"	"GS"	"Household & Community"	"Cookstoves"	"2"
"Northern Africa"	"Tunisia"	"VCS"	"Renewable Energy"	"Solar - Centralized"	"1"
"Oceania"	"Australia"	"GS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Oceania"	"Australia"	"VCS"	"Forestry & Land Use"	"Improved Forest Management"	"3"
"Oceania"	"Australia"	"VCS"	"Forestry & Land Use"	"Afforestation/Reforestation"	"1"
"Oceania"	"New Caledonia"	"GS"	"Renewable Energy"	"Wind"	"1"
"Oceania"	"New Zealand"	"GS"	"Renewable Energy"	"Wind"	"2"
"Oceania"	"New Zealand"	"VCS"	"Household & Community"	"Lighting"	"1"
"Oceania"	"New Zealand"	"VCS"	"Waste Management"	"Landfill Methane"	"1"
"Oceania"	"Papua New Guinea"	"GS"	"Waste Management"	"Methane Recovery in Wastewater"	"2"
"Oceania"	"Papua New Guinea"	"VCS"	"Forestry & Land Use"	"REDD+"	"1"
"Oceania"	"Papua New Guinea"	"VCS"	"Household & Community"	"Cookstoves"	"1"
